X_WORLD,Y_WORLD,fluxvisaper
8.207162,-20.308868,2.99819
8.165311,-20.30904,1.1930068
8.182718,-20.308203,2.5946968
8.299283,-20.308222,1.0882275
8.525581,-20.307425,3.1216886
8.3966675,-20.307096,6.086251
8.149729,-20.307291,3.0026128
8.446753,-20.306673,19.406796
8.553252,-20.30609,60.93451
8.096414,-20.306467,7.0556498
8.424593,-20.306875,1.2042114
8.479617,-20.30674,0.77034783
8.166571,-20.30488,156.77892
8.418518,-20.306295,0.6148875
8.397552,-20.305708,2.8018725
8.491517,-20.305878,0.40260175
8.417059,-20.30528,5.8261724
8.18208,-20.305834,0.39120314
8.327142,-20.304243,27.82182
8.100089,-20.304419,2.7162564
8.329174,-20.304329,3.6861026
8.429597,-20.30399,1.9018385
8.195764,-20.303085,33.387897
8.395464,-20.303648,2.910623
8.282438,-20.303747,1.0615352
8.0914755,-20.302282,75.067245
8.239333,-20.303127,3.0700212
8.3113165,-20.302557,14.891623
8.292385,-20.301853,48.211258
8.541979,-20.30222,1.170546
8.214764,-20.302542,0.6613132
8.49367,-20.301315,42.696404
8.193228,-20.302267,0.84276444
8.4074955,-20.301502,7.6535645
8.375332,-20.3,170.93726
8.092551,-20.301271,1.2993494
8.492977,-20.30053,3.7050433
8.096224,-20.299948,30.089407
8.119405,-20.300003,26.986347
8.477652,-20.299938,9.006106
8.454479,-20.30044,0.49652764
8.089516,-20.300226,0.6994709
8.31499,-20.299776,1.3543432
8.336075,-20.29898,2.8039412
8.170054,-20.298996,3.2768538
8.404326,-20.298813,1.603631
8.451947,-20.29867,1.5100325
8.485058,-20.298256,0.7005065
8.230653,-20.298252,0.4630293
8.43086,-20.298006,0.73062855
8.116613,-20.297434,0.84137464
8.272181,-20.297436,0.67380047
8.4415045,-20.296843,3.167443
8.3403845,-20.29673,7.8857875
8.408066,-20.296518,5.414093
8.074257,-20.296503,2.6456852
8.275919,-20.295887,6.462976
